Sun Feb 26 13:50:57 2017

Number of Points = 3584
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.191216	-0.081044	0.000000	-0.000008	0.287038

1.310730	-0.105003	0.005005	-0.000037	0.287035
1.250015	-0.095772	0.010010	-0.000022	0.287024
1.178333	-0.079931	0.015014	-0.000004	0.287031
1.220522	-0.087797	0.020019	-0.000015	0.287032
1.156181	-0.076726	0.025024	0.000001	0.287025
1.170120	-0.129831	0.030029	-0.000002	0.286828
1.102312	-0.146823	0.035034	0.000015	0.286709
0.838067	-0.093548	0.040038	0.000079	0.286714
0.756305	-0.075928	0.045043	0.000100	0.286720
0.637337	-0.117567	0.050048	0.000129	0.286465
0.549785	-0.111463	0.055053	0.000150	0.286421
0.615138	-0.127739	0.060058	0.000134	0.286407
0.667489	-0.150118	0.065062	0.000122	0.286359
0.718795	-0.230315	0.070067	0.000110	0.286084
0.700764	-0.228825	0.075072	0.000114	0.286075
0.647867	-0.290572	0.080077	0.000127	0.285792
0.769431	-0.327918	0.085082	0.000098	0.285738
0.743795	-0.396974	0.090086	0.000104	0.285447
0.656126	-0.412294	0.095091	0.000126	0.285318
0.717173	-0.469361	0.100096	0.000111	0.285140
0.726273	-0.548174	0.105101	0.000109	0.284837
0.596436	-0.576182	0.110106	0.000141	0.284625
0.488884	-0.602585	0.115110	0.000167	0.284437
0.250690	-0.614694	0.120115	0.000226	0.284205
0.125793	-0.637828	0.125120	0.000256	0.284016
0.079451	-0.660467	0.130125	0.000268	0.283890
0.064437	-0.723557	0.135130	0.000272	0.283628
-0.139465	-0.751814	0.140134	0.000322	0.283358
-0.140477	-0.793915	0.145139	0.000322	0.283190
-0.238532	-0.825632	0.150144	0.000346	0.282987
-0.213540	-0.902016	0.155149	0.000340	0.282703
-0.199926	-0.964989	0.160154	0.000337	0.282463
-0.199061	-1.030349	0.165158	0.000337	0.282204
-0.270068	-1.081081	0.170163	0.000355	0.281946
-0.385097	-1.129250	0.175168	0.000383	0.281664
-0.578175	-1.148957	0.180173	0.000430	0.281433
-0.797458	-1.187661	0.185178	0.000484	0.281107
-1.229221	-1.159205	0.190182	0.000590	0.280881
-1.387432	-1.159191	0.195187	0.000628	0.280757
-1.679218	-1.174915	0.200192	0.000700	0.280464
-1.756427	-1.175070	0.205197	0.000719	0.280402
-1.858366	-1.214535	0.210202	0.000744	0.280164
-2.139335	-1.182410	0.215206	0.000813	0.280071
-2.303748	-1.204598	0.220211	0.000853	0.279852
-2.228405	-1.230222	0.225216	0.000835	0.279808
-2.112962	-1.318743	0.230221	0.000807	0.279543
-2.217988	-1.333961	0.235226	0.000833	0.279399
-2.329371	-1.353670	0.240230	0.000860	0.279231
-2.451618	-1.374636	0.245235	0.000890	0.279050
-2.544354	-1.375223	0.250240	0.000913	0.278974
-2.521097	-1.454656	0.255245	0.000907	0.278672
-2.672044	-1.467986	0.260250	0.000944	0.278499
-2.767184	-1.487159	0.265254	0.000968	0.278346
-2.821073	-1.545883	0.270259	0.000981	0.278066
-2.958592	-1.552979	0.275264	0.001015	0.277927
-3.110654	-1.571880	0.280269	0.001052	0.277730
-3.588270	-1.530529	0.285274	0.001169	0.277517
-3.775087	-1.522611	0.290278	0.001215	0.277401
-3.674614	-1.566578	0.295283	0.001191	0.277302
-3.723116	-1.612927	0.300288	0.001203	0.277075
-3.794315	-1.623595	0.305293	0.001220	0.276975
-4.026195	-1.628114	0.310298	0.001277	0.276772
-4.047563	-1.645677	0.315302	0.001282	0.276683
-4.203639	-1.666590	0.320307	0.001321	0.276473
-4.702835	-1.571205	0.325312	0.001443	0.276462
-4.868605	-1.609906	0.330317	0.001483	0.276172
-5.055044	-1.583428	0.335322	0.001529	0.276130
-5.045763	-1.583577	0.340326	0.001527	0.276136
-5.191851	-1.572128	0.345331	0.001563	0.276066
-5.492579	-1.574920	0.350336	0.001636	0.275814
-5.401585	-1.589603	0.355341	0.001614	0.275826
-5.367954	-1.598321	0.360346	0.001606	0.275817
-5.238217	-1.672386	0.365350	0.001575	0.275619
-5.288104	-1.690366	0.370355	0.001587	0.275505
-5.339646	-1.709135	0.375360	0.001600	0.275387
-5.428574	-1.735171	0.380365	0.001622	0.275209
-5.373168	-1.769858	0.385370	0.001608	0.275112
-5.367975	-1.828198	0.390374	0.001607	0.274877
-5.551439	-1.830203	0.395379	0.001652	0.274721
-5.718709	-1.836355	0.400384	0.001693	0.274562
-5.832762	-1.861260	0.405389	0.001721	0.274368
-6.167573	-1.822955	0.410394	0.001803	0.274255
-6.271445	-1.828203	0.415398	0.001829	0.274149
-6.594817	-1.792085	0.420403	0.001908	0.274036
-6.938428	-1.726118	0.425408	0.001992	0.274030
-7.069412	-1.698198	0.430413	0.002024	0.274038
-7.281255	-1.691318	0.435418	0.002076	0.273895
-7.745551	-1.647771	0.440422	0.002190	0.273699
-7.954925	-1.604790	0.445427	0.002241	0.273707
-8.011900	-1.580620	0.450432	0.002255	0.273759
-7.542475	-1.670455	0.455437	0.002140	0.273769
-7.547334	-1.686819	0.460442	0.002142	0.273697
-7.427415	-1.709461	0.465446	0.002113	0.273700
-7.383230	-1.747382	0.470451	0.002102	0.273580
-7.357054	-1.801413	0.475456	0.002096	0.273379
-7.288614	-1.835678	0.480461	0.002079	0.273293
-7.566176	-1.838126	0.485466	0.002147	0.273058
