Sun Feb 26 15:03:08 2017

Number of Points = 3610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.770911	-0.049305	0.000000	-0.000019	0.279116

0.659344	-0.056723	0.005005	0.000008	0.278997
0.670462	-0.057050	0.010010	0.000006	0.279004
0.818842	-0.087210	0.015014	-0.000030	0.278999
0.849750	-0.092667	0.020019	-0.000038	0.279001
0.662919	-0.054145	0.025024	0.000008	0.279007
0.773659	-0.118638	0.030029	-0.000019	0.278835
0.823241	-0.167405	0.035034	-0.000030	0.278677
0.876364	-0.180248	0.040038	-0.000043	0.278667
0.736682	-0.227436	0.045043	-0.000009	0.278365
0.829412	-0.247457	0.050048	-0.000031	0.278357
0.661533	-0.282163	0.055053	0.000010	0.278083
0.696262	-0.300481	0.060058	0.000002	0.278036
0.581411	-0.343193	0.065062	0.000030	0.277772
0.569367	-0.354984	0.070067	0.000033	0.277714
0.498541	-0.416184	0.075072	0.000051	0.277410
0.447277	-0.435743	0.080077	0.000063	0.277289
0.414044	-0.476248	0.085082	0.000072	0.277098
0.416049	-0.537414	0.090086	0.000072	0.276851
0.426776	-0.583064	0.095091	0.000069	0.276674
0.599420	-0.672703	0.100096	0.000027	0.276447
0.593156	-0.747499	0.105101	0.000029	0.276138
0.732627	-0.846288	0.110106	-0.000005	0.275846
0.614196	-0.901542	0.115110	0.000024	0.275526
0.450034	-0.940079	0.120115	0.000065	0.275237
0.385995	-1.000968	0.125120	0.000081	0.274936
0.287309	-1.058346	0.130125	0.000105	0.274622
0.284152	-1.128517	0.135130	0.000106	0.274332
0.116762	-1.159111	0.140134	0.000147	0.274072
0.032605	-1.219813	0.145139	0.000168	0.273754
0.061156	-1.300439	0.150144	0.000161	0.273446
-0.035255	-1.365574	0.155149	0.000185	0.273100
-0.028139	-1.439584	0.160154	0.000184	0.272801
-0.176824	-1.502528	0.165158	0.000220	0.272421
-0.126851	-1.598003	0.170163	0.000208	0.272067
-0.156885	-1.675512	0.175168	0.000216	0.271722
-0.186495	-1.760037	0.180173	0.000223	0.271348
-0.157612	-1.856151	0.185178	0.000217	0.270972
