Sun Feb 26 15:29:25 2017

Number of Points = 3611
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.495462	0.028737	0.000000	0.000015	0.281787

0.483131	0.042962	0.005005	0.000019	0.281834
0.503567	0.012640	0.010010	0.000014	0.281728
0.381904	0.039808	0.015014	0.000043	0.281741
0.364722	0.040097	0.020019	0.000048	0.281729
0.465235	0.021634	0.025024	0.000023	0.281733
0.563525	0.004809	0.030029	-0.000001	0.281743
0.394524	0.034186	0.035034	0.000041	0.281727
0.454077	-0.046762	0.040038	0.000026	0.281451
0.413336	-0.044607	0.045043	0.000036	0.281427
0.562050	-0.094637	0.050048	0.000000	0.281344
0.499941	-0.142008	0.055053	0.000016	0.281106
0.311046	-0.107697	0.060058	0.000062	0.281095
0.555319	-0.229150	0.065062	0.000002	0.280801
0.538359	-0.252236	0.070067	0.000007	0.280695
0.408977	-0.282665	0.075072	0.000038	0.280471
0.456623	-0.339703	0.080077	0.000027	0.280280
0.364558	-0.364090	0.085082	0.000049	0.280110
0.182744	-0.392886	0.090086	0.000094	0.279851
0.076745	-0.422352	0.095091	0.000120	0.279649
0.152002	-0.475917	0.100096	0.000102	0.279493
0.190371	-0.548882	0.105101	0.000092	0.279229
0.141031	-0.589487	0.110106	0.000105	0.279027
0.055359	-0.623092	0.115110	0.000126	0.278824
0.073918	-0.693414	0.120115	0.000121	0.278555
0.077133	-0.761267	0.125120	0.000121	0.278284
0.116804	-0.843451	0.130125	0.000111	0.277983
0.050178	-0.904877	0.135130	0.000128	0.277682
0.133127	-1.000938	0.140134	0.000107	0.277359
0.094743	-1.076819	0.145139	0.000117	0.277021
0.065250	-1.155758	0.150144	0.000124	0.276677
-0.013719	-1.223864	0.155149	0.000144	0.276337
-0.122847	-1.293015	0.160154	0.000171	0.275969
-0.227056	-1.353777	0.165158	0.000196	0.275638
-0.421972	-1.397190	0.170163	0.000244	0.275305
-0.353862	-1.496909	0.175168	0.000227	0.274952
-0.616256	-1.529960	0.180173	0.000292	0.274606
-0.782635	-1.580064	0.185178	0.000332	0.274268
-0.758855	-1.647932	0.190182	0.000327	0.274008
-0.880949	-1.713253	0.195187	0.000357	0.273642
-0.933987	-1.787646	0.200192	0.000370	0.273294
-1.032740	-1.849270	0.205197	0.000394	0.272960
-1.793091	-1.784702	0.210202	0.000580	0.272611
-3.739504	-1.445744	0.215206	0.001055	0.272432
-4.289706	-1.340322	0.220211	0.001190	0.272420
-4.328514	-1.332145	0.225216	0.001199	0.272422
-4.602243	-1.212829	0.230221	0.001266	0.272692
-3.927479	-1.331425	0.235226	0.001102	0.272749
-3.030385	-1.562991	0.240230	0.000883	0.272521
-2.784893	-1.643794	0.245235	0.000823	0.272387
-2.518781	-1.761591	0.250240	0.000758	0.272116
-2.220543	-1.893933	0.255245	0.000685	0.271812
-2.255464	-1.967698	0.260250	0.000694	0.271478
-2.244692	-2.054282	0.265254	0.000692	0.271128
-2.657341	-2.055226	0.270259	0.000793	0.270788
-3.403458	-1.970428	0.275264	0.000975	0.270532
-4.330617	-1.837712	0.280269	0.001201	0.270326
-5.264875	-1.677176	0.285274	0.001430	0.270230
-5.506457	-1.626965	0.290278	0.001489	0.270241
-5.839074	-1.557130	0.295283	0.001570	0.270259
-5.768648	-1.505205	0.300288	0.001553	0.270532
-5.959559	-1.465748	0.305293	0.001600	0.270540
-5.565033	-1.545817	0.310298	0.001503	0.270529
-5.013526	-1.661141	0.315302	0.001369	0.270500
-5.155938	-1.698189	0.320307	0.001404	0.270229
-4.640758	-1.799637	0.325312	0.001278	0.270228
-4.609454	-1.882109	0.330317	0.001271	0.269911
-4.484313	-1.945745	0.335322	0.001240	0.269748
-4.626242	-1.960273	0.340326	0.001275	0.269571
-5.094002	-1.936890	0.345331	0.001389	0.269285
-5.146125	-1.952249	0.350336	0.001402	0.269178
-6.197662	-1.770877	0.355341	0.001659	0.269072
-6.456440	-1.723037	0.360346	0.001722	0.269060
-6.770660	-1.657923	0.365350	0.001799	0.269073
-7.196131	-1.576603	0.370355	0.001903	0.269063
-7.140901	-1.587418	0.375360	0.001890	0.269063
-7.534204	-1.508318	0.380365	0.001986	0.269071
-7.773275	-1.464391	0.385370	0.002044	0.269058
-7.444768	-1.525720	0.390374	0.001964	0.269071
-7.451485	-1.490323	0.395379	0.001966	0.269212
-7.244306	-1.565120	0.400384	0.001915	0.269070
-6.878540	-1.636516	0.405389	0.001826	0.269072
-6.386964	-1.736453	0.410394	0.001706	0.269057
-6.237871	-1.839180	0.415398	0.001670	0.268750
-6.582558	-1.802454	0.420403	0.001754	0.268621
-6.434036	-1.880766	0.425408	0.001718	0.268415
-6.194334	-1.995064	0.430413	0.001660	0.268133
-6.604415	-1.972183	0.435418	0.001760	0.267891
-7.560815	-1.806893	0.440422	0.001994	0.267796
-7.534304	-1.861287	0.445427	0.001987	0.267590
-7.892123	-1.821089	0.450432	0.002075	0.267463
-8.339522	-1.731522	0.455437	0.002184	0.267469
-8.808571	-1.641318	0.460442	0.002299	0.267461
-9.081067	-1.585214	0.465446	0.002366	0.267471
-9.447045	-1.514566	0.470451	0.002455	0.267466
-9.619297	-1.481080	0.475456	0.002497	0.267464
-9.689361	-1.396745	0.480461	0.002514	0.267759
-8.909967	-1.543449	0.485466	0.002324	0.267786
-8.344668	-1.704858	0.490470	0.002186	0.267575
-8.849218	-1.632360	0.495475	0.002309	0.267463
-8.049803	-1.812223	0.500480	0.002114	0.267367
-8.083984	-1.854420	0.505485	0.002123	0.267161
-8.068496	-1.919453	0.510490	0.002119	0.266900
-8.168146	-1.936752	0.515494	0.002144	0.266745
-8.477354	-1.926730	0.520499	0.002219	0.266531
-8.636285	-1.966081	0.525504	0.002258	0.266233
-9.832534	-1.736830	0.530509	0.002551	0.266208
-10.538339	-1.601308	0.535514	0.002723	0.266194
-10.516715	-1.602961	0.540518	0.002718	0.266205
-10.984126	-1.511950	0.545523	0.002832	0.266201
-11.406309	-1.416426	0.550528	0.002935	0.266253
-10.821227	-1.464419	0.555533	0.002792	0.266535
-10.688564	-1.493217	0.560538	0.002760	0.266524
-10.377969	-1.560553	0.565542	0.002684	0.266497
-10.872725	-1.534276	0.570547	0.002805	0.266197
-10.146775	-1.677432	0.575552	0.002628	0.266195
-9.800092	-1.743219	0.580557	0.002544	0.266204
-9.664090	-1.845381	0.585562	0.002511	0.265886
-9.446418	-1.926688	0.590566	0.002457	0.265723
-9.991375	-1.867471	0.595571	0.002591	0.265520
-10.134141	-1.900078	0.600576	0.002626	0.265263
-10.418327	-1.876287	0.605581	0.002695	0.265127
-11.270248	-1.755256	0.610586	0.002903	0.264930
-11.290435	-1.747912	0.615590	0.002908	0.264944
-11.757298	-1.657659	0.620595	0.003022	0.264938
-12.020141	-1.607394	0.625600	0.003087	0.264931
-12.406602	-1.528581	0.630605	0.003181	0.264943
-12.492633	-1.514252	0.635610	0.003202	0.264932
-12.464749	-1.517037	0.640614	0.003196	0.264943
-12.661145	-1.479104	0.645619	0.003244	0.264940
-12.391135	-1.533092	0.650624	0.003178	0.264936
-12.201760	-1.567628	0.655629	0.003132	0.264947
-11.916280	-1.638769	0.660634	0.003062	0.264883
-11.615495	-1.755925	0.665638	0.002989	0.264636
-11.211457	-1.865619	0.670643	0.002890	0.264507
-11.485149	-1.858135	0.675648	0.002957	0.264310
-11.698075	-1.871032	0.680653	0.003009	0.264077
-11.827092	-1.877080	0.685658	0.003041	0.263943
-12.465702	-1.799763	0.690662	0.003197	0.263738
-12.619367	-1.783839	0.695667	0.003235	0.263677
-13.282270	-1.714081	0.700672	0.003397	0.263419
-13.635141	-1.642298	0.705677	0.003483	0.263429
-14.101540	-1.553784	0.710682	0.003597	0.263415
-14.149924	-1.492855	0.715686	0.003609	0.263634
-13.939533	-1.509177	0.720691	0.003558	0.263740
-14.057381	-1.486895	0.725696	0.003586	0.263736
-13.957417	-1.504620	0.730701	0.003562	0.263744
-13.888772	-1.590683	0.735706	0.003545	0.263434
-13.778011	-1.613814	0.740710	0.003519	0.263428
-13.691811	-1.631899	0.745715	0.003498	0.263423
-13.026952	-1.803180	0.750720	0.003335	0.263250
-13.303625	-1.782284	0.755725	0.003403	0.263106
-13.435891	-1.823867	0.760730	0.003435	0.262817
-13.473968	-1.833591	0.765734	0.003445	0.262744
-14.218023	-1.752339	0.770739	0.003627	0.262465
-14.091803	-1.777304	0.775744	0.003596	0.262464
-14.312980	-1.767678	0.780749	0.003650	0.262319
-15.170944	-1.637588	0.785754	0.003860	0.262154
-14.813534	-1.704644	0.790758	0.003773	0.262167
-15.025706	-1.664136	0.795763	0.003824	0.262162
-15.268178	-1.616360	0.800768	0.003884	0.262162
-15.486626	-1.570900	0.805773	0.003937	0.262172
-15.631613	-1.575171	0.810778	0.003973	0.262032
-15.908838	-1.501245	0.815782	0.004041	0.262115
-15.810592	-1.570880	0.820787	0.004017	0.261899
-15.751110	-1.594630	0.825792	0.004002	0.261847
-15.636039	-1.614956	0.830797	0.003974	0.261856
-15.290650	-1.686384	0.835802	0.003890	0.261841
-15.384865	-1.699218	0.840806	0.003913	0.261706
-16.082421	-1.599875	0.845811	0.004084	0.261543
-15.692016	-1.676901	0.850816	0.003988	0.261542
-15.504456	-1.744441	0.855821	0.003943	0.261410
-16.344522	-1.627080	0.860826	0.004148	0.261204
-15.971629	-1.698269	0.865830	0.004057	0.261213
-16.058972	-1.723533	0.870835	0.004078	0.261030
-16.428243	-1.682057	0.875840	0.004169	0.260896
-16.348437	-1.695810	0.880845	0.004149	0.260904
-16.469013	-1.728649	0.885850	0.004179	0.260660
-16.672746	-1.706221	0.890854	0.004229	0.260584
-16.902629	-1.661841	0.895859	0.004285	0.260580
-16.680364	-1.739841	0.900864	0.004231	0.260432
-17.346862	-1.642964	0.905869	0.004394	0.260284
-17.216316	-1.670915	0.910874	0.004362	0.260274
-16.959846	-1.719469	0.915878	0.004299	0.260282
-17.148197	-1.749938	0.920883	0.004346	0.259990
-17.387961	-1.712951	0.925888	0.004404	0.259946
-17.425180	-1.702764	0.930893	0.004413	0.259958
-17.590259	-1.733047	0.935898	0.004454	0.259687
-18.007476	-1.658835	0.940902	0.004556	0.259653
-18.694430	-1.524085	0.945907	0.004724	0.259651
-18.479298	-1.567105	0.950912	0.004671	0.259648
-18.759137	-1.509819	0.955917	0.004740	0.259657
-18.923392	-1.480784	0.960922	0.004780	0.259643
-18.716900	-1.518970	0.965926	0.004730	0.259653
-18.700702	-1.521552	0.970931	0.004726	0.259655
-18.624501	-1.538540	0.975936	0.004707	0.259646
-18.605546	-1.539917	0.980941	0.004703	0.259656
-18.457575	-1.624644	0.985946	0.004667	0.259415
-18.430391	-1.647082	0.990950	0.004660	0.259340
-18.082894	-1.735223	0.995955	0.004575	0.259254
-17.965084	-1.821820	1.000960	0.004547	0.258979

-18.451367	-1.802595	1.010957	0.004666	0.258647
-18.648703	-1.808940	1.020954	0.004714	0.258450
-19.039920	-1.767944	1.030950	0.004810	0.258293
-19.629411	-1.651557	1.040947	0.004954	0.258295
-20.127901	-1.506000	1.050944	0.005076	0.258501
-19.975442	-1.473969	1.060941	0.005039	0.258770
-19.799458	-1.445880	1.070938	0.004996	0.259041
-19.442954	-1.501077	1.080934	0.004909	0.259105
-18.844887	-1.617566	1.090931	0.004763	0.259108
-18.494417	-1.686181	1.100928	0.004678	0.259109
-18.423450	-1.701159	1.110925	0.004661	0.259104
-18.647805	-1.710557	1.120922	0.004716	0.258871
-18.573613	-1.748463	1.130918	0.004698	0.258769
-18.651383	-1.732272	1.140915	0.004717	0.258773
-18.700132	-1.722851	1.150912	0.004729	0.258771
-18.669397	-1.729064	1.160909	0.004722	0.258770
-18.782325	-1.706732	1.170906	0.004750	0.258770
